Li,Be,B,C,Mg,Al,Si,P,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Y,Zr,Nb,Mo,Pd,Ag,In,Sn,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ta,W,Pt,Au,index,Dmax
0.0,0.0,0.0,0.0,0.0,0.005185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017777778,0.007111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962963,20.0
0.0,0.006428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714,0.0,0.0,0.0,0.0,0.0,0.0028571428,0.003214286,0.0,0.0,0.0,0.008928572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96428573,8.0
0.0,0.0,0.0,0.0,0.005172414,0.0,0.0,0.0,0.024137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172,0.5
0.0,0.0,0.0,0.0,0.0051436666,0.0,0.0,0.0,0.010187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025716668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96666664,0.8
0.0,0.0,0.0,0.0,0.02096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016129032,0.006451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9677419,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014375,0.0,0.0,0.0,0.014375,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96875,4.0
0.0,0.0,0.0,0.0,0.0,0.007575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969697,3.0
0.0,0.0,0.0054211766,0.0,0.0,0.0,0.0013552941,0.0,0.0,0.0,0.0,0.0,0.0011764705,0.0,0.012197647,0.008131765,0.0,0.0,0.0,0.0,0.0,0.0,0.0011294119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705882,3.0
0.0,0.0,0.0,0.0,0.0,0.0022857143,0.0,0.0,0.0,0.0,0.0017142857,0.0,0.0,0.0,0.0,0.0,0.0,0.010285715,0.0,0.0,0.0,0.011999999,0.0,0.0,0.0,0.0022857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714286,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666668,0.0,0.0,0.0,0.0,0.0055555557,0.0055555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222,0.5
0.0,0.0,0.0,0.0,0.0,0.0024324325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011891892,0.0,0.0,0.0,0.012702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972973,4.0
0.0,0.0,0.0039473684,0.0,0.0,0.00026315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016052632,0.0015789473,0.0,0.0,0.0,0.0,0.00052631577,0.002105263,0.0,0.0018421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736842,5.0
0.0,0.0,0.0,0.0,0.0,0.0024358975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012179487,0.0,0.0,0.005602564,0.0,0.0,0.0,0.015102563,0.0,0.0,0.0,0.0012820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974359,5.0
0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000001,0.0,0.0,0.0,0.0,0.0,0.0009999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049999997,0.0,0.0,0.0,0.975,4.0
0.0,0.0,0.004877074,0.0,0.0,0.0,0.00097536616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017557323,0.0,0.0,0.0,0.0,0.0,4.87805e-06,0.0,0.00097536616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97561,2.0
0.0,0.0,0.0014285714,0.0035714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095238094,0.0,0.014404763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97619045,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.009302326,0.0,0.0,0.0,0.001627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767442,7.0
0.0,0.0,0.0013636363,0.0034090912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013636363,0.0,0.011965909,0.0013295454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000113636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97727275,4.0
0.0,0.0,0.0,0.0,0.0,0.0022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777778,1.0
0.0,0.0,0.0,0.0,0.0,0.0032608698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021739132,0.0041304347,0.0,0.0,0.0004347826,0.011739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9782609,5.0
